# Global five-letter proquint reservations for TODO, TE, DR, and DI identifiers.
# tools/mint-handle appends a handle before returning it, making allocation collision-safe.
pokug	2026-08-02T19:46:46Z
rabap	2026-08-02T19:46:46Z
fofuh	2026-08-02T19:49:01Z
sobir	2026-08-02T20:40:19Z
harib	2026-08-02T20:41:17Z
malob	2026-08-02T20:42:23Z
hapak	2026-08-02T20:58:08Z
pohug	2026-08-02T21:07:31Z
zivut	2026-08-02T21:07:40Z
rasih	2026-08-03T14:21:18Z
jifuk	2026-08-03T14:22:07Z
kitol	2026-08-03T14:28:53Z
rufir	2026-08-03T14:29:03Z
nakum	2026-08-03T15:05:49Z
sotad	2026-08-03T15:06:31Z
sakit	2026-08-03T15:11:55Z
gihor	2026-08-03T15:11:58Z
nujof	2026-08-08T03:52:06Z
tagup	2026-08-08T04:21:01Z
vitib	2026-08-08T04:21:01Z
ludiv	2026-08-08T04:21:01Z
dapod	2026-08-08T04:21:01Z
patag	2026-08-08T04:21:01Z
sapun	2026-08-08T04:21:01Z
malih	2026-08-08T04:21:01Z
lasif	2026-08-08T04:21:01Z
